emp_no,first_name,last_name,birth_date,title,from_date,to_date
10095,Hilari,Morton,1965-01-03,Staff,1994-03-10,9999-01-01
10291,Dipayan,Seghrouchni,1965-01-23,Staff,1987-03-30,9999-01-01
10291,Dipayan,Seghrouchni,1965-01-23,Senior Staff,1987-03-30,9999-01-01
10410,Takahito,Gecsei,1965-01-19,Staff,1993-10-16,1996-07-21
10476,Kokou,Iisaka,1965-01-01,Staff,1987-09-20,9999-01-01
10476,Kokou,Iisaka,1965-01-01,Senior Staff,1987-09-20,9999-01-01
10480,Make,Baba,1965-01-25,Staff,1988-05-18,1989-06-03
10663,Teunis,Noriega,1965-01-09,Technique Leader,1999-02-12,9999-01-01
10663,Teunis,Noriega,1965-01-09,Technique Leader,1993-01-23,1999-02-12
10762,Lech,Himler,1965-01-19,Staff,1992-01-21,9999-01-01
10762,Lech,Himler,1965-01-19,Senior Staff,1992-01-21,9999-01-01
10933,Juyoung,Seghrouchni,1965-01-24,Senior Engineer,1993-08-02,9999-01-01
11015,Jeanna,Riesenhuber,1965-01-24,Senior Staff,1998-03-14,2000-02-22
11126,Hideo,Daescu,1965-01-08,Staff,1992-02-25,2002-04-04
11126,Hideo,Daescu,1965-01-08,Senior Staff,1992-02-25,2002-04-04
11157,Mario,Cochrane,1965-02-01,Engineer,1985-03-30,1991-02-06
11432,Yongmao,Zwicker,1965-01-15,Senior Engineer,1987-10-19,1997-09-13
11432,Yongmao,Zwicker,1965-01-15,Engineer,1987-10-19,1997-09-13
10095,Hilari,Morton,1965-01-03,Senior Staff,1994-03-10,9999-01-01
10122,Ohad,Esposito,1965-01-19,Technique Leader,1998-08-06,9999-01-01
12155,Keiichiro,Glinert,1965-01-21,Senior Engineer,1993-09-16,9999-01-01
12155,Keiichiro,Glinert,1965-01-21,Engineer,1993-09-16,9999-01-01
13499,Kazuhiko,Sidou,1965-01-16,Technique Leader,1991-09-01,9999-01-01
12408,Rasiah,Sudkamp,1965-01-10,Senior Engineer,1995-04-18,9999-01-01
12643,Morrie,Schurmann,1965-01-30,Staff,1998-12-31,9999-01-01
14075,Denny,Tchuente,1965-01-03,Engineer,1991-05-30,9999-01-01
13957,Angus,Chelton,1965-01-10,Senior Engineer,1986-04-18,1987-02-02
14075,Denny,Tchuente,1965-01-03,Assistant Engineer,1991-05-30,9999-01-01
14104,Sudhanshu,Demian,1965-01-03,Staff,1994-07-23,9999-01-01
14127,Magdalena,Cannard,1965-01-10,Senior Engineer,1994-04-22,9999-01-01
14127,Magdalena,Cannard,1965-01-10,Engineer,1994-04-22,9999-01-01
14104,Sudhanshu,Demian,1965-01-03,Senior Staff,1994-07-23,9999-01-01
14158,Caolyn,Setiz,1965-01-22,Staff,1990-02-06,9999-01-01
14158,Caolyn,Setiz,1965-01-22,Senior Staff,1990-02-06,9999-01-01
14551,Richard,Sinitsyn,1965-01-18,Senior Staff,1993-06-27,1993-09-16
14476,Sastry,Marrevee,1965-01-19,Engineer,1999-09-25,9999-01-01
14907,Nakhoon,Luga,1965-01-14,Staff,1986-12-18,9999-01-01
14907,Nakhoon,Luga,1965-01-14,Senior Staff,1986-12-18,9999-01-01
15413,Arvin,Rabejac,1965-01-17,Senior Engineer,1994-01-01,9999-01-01
15050,Nikolaos,Kruskal,1965-01-18,Senior Engineer,1990-12-17,9999-01-01
15050,Nikolaos,Kruskal,1965-01-18,Engineer,1990-12-17,9999-01-01
15058,Bouchung,Bugrara,1965-01-30,Staff,1990-06-18,9999-01-01
